id,id_contact,Gender_ego,Age_ego,Householdsize,MaritalStatus,Education_ego,Income,Age_diff,Edu_diff,Gender_diff,Duration,Distance,Socialcategory,Visit,Hosting,Dining,Bar,Cinema,Recreation,Vacation,Shopping,Paidwork,gender_alter,age_alter,education_alter
320995,JAN-JACOB,1,3,3,4,2,5,0,1,0,3,3,1,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,s3_36_up,1,3,1
320995,JAQUES,1,3,3,4,2,5,0,0,0,2,5,1,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,s3_36_up,1,3,2
320995,JOB,1,3,3,4,2,5,1,0,0,3,4,6,very_low,very_low,very_low,never,never,never,never,never,s3_36_up,1,2,2
320995,JOHAN,1,3,3,4,2,5,0,1,0,3,1,8,very_low,very_low,never,never,never,never,never,never,s3_36_up,1,3,1
320995,JOS,1,3,3,4,2,5,0,0,-1,1,1,3,very_low,very_low,never,never,never,never,never,never,s3_36_up,2,3,2
320995,KAREL,1,3,3,4,2,5,0,0,0,3,5,1,low,low,very_low,very_low,low,very_low,very_low,very_low,s3_36_up,1,3,2
320995,KARL,1,3,3,4,2,5,0,0,0,2,5,1,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,s3_36_up,1,3,2
320995,LIDY,1,3,3,4,2,5,0,0,-1,1,4,1,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,s3_36_up,2,3,2
320995,LIES,1,3,3,4,2,5,-1,1,-1,3,2,8,very_low,very_low,never,never,never,never,never,never,s3_36_up,2,4,1
320995,LOTJE,1,3,3,4,2,5,2,1,-1,1,1,3,very_low,very_low,never,never,never,never,never,never,s3_36_up,2,1,1
320995,LOTTE,1,3,3,4,2,5,0,0,-1,2,3,2,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,s3_36_up,2,3,2
320995,LOTTI,1,3,3,4,2,5,2,1,-1,1,1,3,very_low,very_low,never,never,never,never,never,never,s3_36_up,2,1,1
320995,MAARTEN,1,3,3,4,2,5,1,0,0,2,2,2,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,s3_36_up,1,2,2
320995,MARCO,1,3,3,4,2,5,0,1,-1,3,1,3,very_low,very_low,never,never,never,never,never,never,s3_36_up,2,3,1
320995,MARGOT,1,3,3,4,2,5,1,0,-1,2,3,2,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,s3_36_up,2,2,2
320995,MARIJKE,1,3,3,4,2,5,0,1,-1,3,2,1,very_high,very_high,very_low,very_low,very_low,very_low,very_low,very_low,s3_36_up,2,3,1
320995,MARIKA,1,3,3,4,2,5,1,1,-1,1,1,3,very_low,very_low,never,never,never,never,never,never,s3_36_up,2,2,1
320995,MARISKA,1,3,3,4,2,5,2,1,-1,1,1,3,very_low,very_low,never,never,never,never,never,never,s3_36_up,2,1,1
320995,MARLIES,1,3,3,4,2,5,1,0,-1,3,2,1,high,high,very_low,very_low,very_low,very_low,very_low,very_low,s3_36_up,2,2,2
320995,NARDY,1,3,3,4,2,5,0,1,-1,2,1,3,very_low,very_low,never,never,never,never,never,never,s3_36_up,2,3,1
320995,PIET,1,3,3,4,2,5,-1,0,0,2,4,4,low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,s3_36_up,1,4,2
320995,PIETER,1,3,3,4,2,5,1,1,0,2,3,1,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,s3_36_up,1,2,1
320995,RENO,1,3,3,4,2,5,2,0,0,1,1,2,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,s3_36_up,1,1,2
320995,RIA,1,3,3,4,2,5,-1,0,-1,2,3,2,very_low,very_low,low,low,low,low,low,low,s3_36_up,2,4,2
320995,RIET,1,3,3,4,2,5,2,0,-1,3,2,5,high,low,low,low,low,low,low,low,s3_36_up,2,1,2
320995,ROBERT,1,3,3,4,2,5,2,0,0,1,3,2,very_low,very_low,very_low,very_low,low,very_low,very_low,very_low,s3_36_up,1,1,2
320995,ROY,1,3,3,4,2,5,2,1,0,3,2,2,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,s3_36_up,1,1,1
320995,SANDER,1,3,3,4,2,5,1,0,0,3,4,6,very_low,very_low,very_low,never,never,never,never,never,s3_36_up,1,2,2
320995,SINI,1,3,3,4,2,5,-1,1,-1,3,4,4,high,low,very_low,very_low,very_low,very_low,very_low,very_low,s3_36_up,2,4,1
320995,TIES,1,3,3,4,2,5,-1,0,0,1,3,4,very_low,very_low,low,low,low,low,low,low,s3_36_up,1,4,2
320995,TRUUS,1,3,3,4,2,5,2,1,-1,2,1,3,very_low,very_low,never,never,never,never,never,never,s3_36_up,2,1,1
320996,1,1,3,2,2,1,5,-1,0,-1,3,2,4,very_low,very_high,high,never,high,high,never,never,s2_8_36,2,4,1
320996,2,1,3,2,2,1,5,-1,0,-1,3,2,4,very_low,very_high,high,never,never,high,never,never,s2_8_36,2,4,1
320996,3,1,3,2,2,1,5,1,0,0,3,2,5,very_low,never,never,never,never,never,never,never,s2_8_36,1,2,1
320996,4,1,3,2,2,1,5,0,0,-1,3,2,4,very_low,never,never,never,never,never,never,never,s2_8_36,2,3,1
320996,5,1,3,2,2,1,5,1,0,0,3,1,3,very_low,never,never,never,never,never,never,never,s2_8_36,1,2,1
320996,6,1,3,2,2,1,5,1,0,-1,3,1,3,never,never,never,never,never,never,never,never,s2_8_36,2,2,1
320998,1,1,3,2,2,2,4,0,0,0,3,3,1,very_low,very_low,never,never,never,never,never,never,s3_36_up,1,3,2
320998,10,1,3,2,2,2,4,0,0,-1,3,2,1,very_low,very_low,never,never,never,never,never,never,s3_36_up,2,3,2
320998,11,1,3,2,2,2,4,0,0,0,3,3,2,very_low,very_low,never,never,never,never,never,never,s3_36_up,1,3,2
320998,12,1,3,2,2,2,4,0,0,0,2,3,2,very_low,very_low,never,never,never,never,never,never,s3_36_up,1,3,2
320998,13,1,3,2,2,2,4,1,0,0,2,4,2,very_low,very_low,never,never,never,never,never,never,s3_36_up,1,2,2
320998,14,1,3,2,2,2,4,1,0,0,2,2,2,very_low,very_low,never,never,never,never,never,never,s3_36_up,1,2,2
320998,15,1,3,2,2,2,4,0,0,0,2,2,2,very_low,very_low,never,never,never,never,never,never,s3_36_up,1,3,2
320998,2,1,3,2,2,2,4,0,0,-1,3,3,1,very_low,very_low,never,never,never,never,never,never,s3_36_up,2,3,2
320998,21,1,3,2,2,2,4,1,0,0,2,1,3,very_low,very_low,never,never,never,never,never,never,s3_36_up,1,2,2
320998,22,1,3,2,2,2,4,1,1,-1,2,1,3,very_low,very_low,never,never,never,never,never,never,s3_36_up,2,2,1
320998,23,1,3,2,2,2,4,-1,0,0,3,1,3,very_low,very_low,never,never,never,never,never,never,s3_36_up,1,4,2
320998,24,1,3,2,2,2,4,-1,1,-1,3,1,3,very_low,very_low,never,never,never,never,never,never,s3_36_up,2,4,1
320998,3,1,3,2,2,2,4,0,0,0,3,1,1,very_low,very_low,never,never,never,never,never,never,s3_36_up,1,3,2
320998,31,1,3,2,2,2,4,-1,1,-1,3,4,5,low,very_low,very_low,never,never,never,never,never,s3_36_up,2,4,1
320998,4,1,3,2,2,2,4,0,0,-1,3,1,1,very_low,very_low,never,never,never,never,never,never,s3_36_up,2,3,2
320998,41,1,3,2,2,2,4,-1,1,-1,3,1,6,low,low,very_low,never,very_low,never,never,never,s3_36_up,2,4,1
320998,5,1,3,2,2,2,4,0,0,0,3,2,1,very_low,very_low,never,never,never,never,never,never,s3_36_up,1,3,2
320998,51,1,3,2,2,2,4,2,0,0,3,4,7,very_low,very_low,very_low,never,never,never,never,never,s3_36_up,1,1,2
320998,52,1,3,2,2,2,4,2,0,0,3,4,7,very_low,very_low,very_low,never,never,never,never,never,s3_36_up,1,1,2
320998,6,1,3,2,2,2,4,0,0,-1,3,2,1,very_low,very_low,never,never,never,never,never,never,s3_36_up,2,3,2
320998,61,1,3,2,2,2,4,0,0,0,3,4,8,very_low,very_low,never,never,never,never,never,never,s3_36_up,1,3,2
320998,62,1,3,2,2,2,4,0,1,-1,3,4,8,very_low,very_low,never,never,never,never,never,never,s3_36_up,2,3,1
320998,63,1,3,2,2,2,4,1,0,0,3,4,8,very_low,very_low,never,never,never,never,never,never,s3_36_up,1,2,2
320998,64,1,3,2,2,2,4,1,1,-1,3,4,8,very_low,very_low,never,never,never,never,never,never,s3_36_up,2,2,1
320998,65,1,3,2,2,2,4,0,0,0,3,4,8,very_low,very_low,never,never,never,never,never,never,s3_36_up,1,3,2
320998,66,1,3,2,2,2,4,0,1,-1,3,4,8,very_low,very_low,never,never,never,never,never,never,s3_36_up,2,3,1
320998,67,1,3,2,2,2,4,0,0,0,3,4,8,very_low,very_low,never,never,never,never,never,never,s3_36_up,1,3,2
320998,68,1,3,2,2,2,4,0,1,-1,3,4,8,very_low,very_low,never,never,never,never,never,never,s3_36_up,2,3,1
320998,69,1,3,2,2,2,4,1,0,0,3,1,8,very_low,very_low,very_low,never,never,never,never,never,s3_36_up,1,2,2
320998,7,1,3,2,2,2,4,0,0,0,3,4,1,very_low,very_low,never,never,never,never,never,never,s3_36_up,1,3,2
320998,70,1,3,2,2,2,4,1,1,-1,3,1,8,very_low,very_low,very_low,never,never,never,never,never,s3_36_up,2,2,1
320998,8,1,3,2,2,2,4,0,1,-1,3,4,1,very_low,very_low,never,never,never,never,never,never,s3_36_up,2,3,1
320998,9,1,3,2,2,2,4,0,0,0,3,2,1,very_low,very_low,never,never,never,never,never,never,s3_36_up,1,3,2
321000,A,2,2,3,3,2,1,1,0,0,2,3,4,very_low,very_low,never,never,never,never,never,never,s2_8_36,2,1,2
321000,Aw,2,2,3,3,2,1,1,0,0,2,4,1,very_low,very_low,never,never,never,never,never,very_low,s2_8_36,2,1,2
321000,C,2,2,3,3,2,1,0,0,0,1,2,1,very_low,very_low,never,never,never,never,never,never,s2_8_36,2,2,2
321000,D,2,2,3,3,2,1,0,0,0,1,2,1,very_low,very_low,never,never,never,never,never,never,s2_8_36,2,2,2
321000,E,2,2,3,3,2,1,1,1,0,2,1,7,never,never,never,never,never,never,never,never,s2_8_36,2,1,1
321000,F,2,2,3,3,2,1,1,1,1,1,1,7,never,never,never,never,never,never,never,never,s2_8_36,1,1,1
321000,H,2,2,3,3,2,1,0,0,0,1,2,1,high,high,never,never,never,never,never,never,s2_8_36,2,2,2
321000,I,2,2,3,3,2,1,0,0,0,2,1,3,very_low,very_low,never,never,never,never,never,never,s2_8_36,2,2,2
321000,J,2,2,3,3,2,1,0,0,0,2,2,5,very_low,very_low,never,never,never,never,never,never,s2_8_36,2,2,2
321000,K,2,2,3,3,2,1,0,1,0,3,3,6,very_low,very_low,never,never,never,never,never,never,s2_8_36,2,2,1
321000,M,2,2,3,3,2,1,0,0,1,2,1,5,low,low,never,never,never,never,never,never,s2_8_36,1,2,2
321000,P,2,2,3,3,2,1,0,1,1,3,3,6,very_low,very_low,never,never,never,never,never,never,s2_8_36,1,2,1
321000,Rd,2,2,3,3,2,1,1,1,1,2,1,3,never,never,never,never,never,never,never,never,s2_8_36,1,1,1
321000,Rg,2,2,3,3,2,1,1,1,1,1,1,3,never,never,never,never,never,never,never,never,s2_8_36,1,1,1
321000,S,2,2,3,3,2,1,1,0,0,2,2,5,very_low,very_low,never,never,never,never,never,never,s2_8_36,2,1,2
321000,a,2,2,3,3,2,1,-1,1,0,2,2,5,low,low,very_low,never,never,never,never,never,s2_8_36,2,3,1
321000,i,2,2,3,3,2,1,-2,1,0,3,4,5,low,very_low,very_low,never,never,never,never,never,s2_8_36,2,4,1
321000,m,2,2,3,3,2,1,-2,1,1,3,4,5,low,very_low,very_low,never,never,never,never,never,s2_8_36,1,4,1
321000,o,2,2,3,3,2,1,-2,1,0,2,2,4,very_low,very_low,never,never,never,never,never,never,s2_8_36,2,4,1
321000,r,2,2,3,3,2,1,-1,1,1,2,2,5,low,low,very_low,never,never,never,never,never,s2_8_36,1,3,1
321001,1,2,2,3,3,2,3,0,1,0,3,3,1,very_low,very_low,low,very_low,very_low,very_low,very_low,very_low,s2_8_36,2,2,1
321001,2,2,2,3,3,2,3,1,0,0,2,3,1,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,s2_8_36,2,1,2
321001,3,2,2,3,3,2,3,0,1,0,3,2,1,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,s2_8_36,2,2,1
321001,4,2,2,3,3,2,3,0,0,0,2,5,1,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,s2_8_36,2,2,2
321001,5,2,2,3,3,2,3,0,0,0,2,3,1,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,s2_8_36,2,2,2
321001,6,2,2,3,3,2,3,0,1,0,3,2,1,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,s2_8_36,2,2,1
321001,7,2,2,3,3,2,3,0,0,0,2,3,1,low,low,very_low,very_low,very_low,very_low,very_low,very_low,s2_8_36,2,2,2
321001,8,2,2,3,3,2,3,1,0,0,2,1,1,low,low,very_low,very_low,very_low,low,very_low,very_low,s2_8_36,2,1,2
321001,9,2,2,3,3,2,3,1,1,0,2,2,1,low,low,very_low,very_low,very_low,low,very_low,very_low,s2_8_36,2,1,1
321003,Ali,2,2,1,1,2,4,0,0,1,2,1,3,very_low,never,never,never,never,never,never,never,s2_8_36,1,2,2
321003,Antoinet,2,2,1,1,2,4,0,0,0,3,1,2,never,never,very_low,never,never,never,never,never,s2_8_36,2,2,2
321003,Christa,2,2,1,1,2,4,-1,0,0,3,1,2,never,never,very_low,never,never,never,never,never,s2_8_36,2,3,2
321003,Danny,2,2,1,1,2,4,1,0,1,2,1,2,never,never,never,never,never,never,never,never,s2_8_36,1,1,2
321003,Ellen,2,2,1,1,2,4,0,0,0,1,1,1,low,never,never,never,never,never,never,never,s2_8_36,2,2,2
321003,Esther,2,2,1,1,2,4,1,0,0,2,1,2,never,never,never,never,never,never,never,never,s2_8_36,2,1,2
321003,Gardo,2,2,1,1,2,4,0,0,1,1,2,1,never,never,never,never,never,low,never,never,s2_8_36,1,2,2
321003,Gerda,2,2,1,1,2,4,-1,1,0,2,1,3,never,never,never,never,never,never,never,never,s2_8_36,2,3,1
321003,Jacqueline,2,2,1,1,2,4,-1,0,0,1,1,2,never,never,very_low,never,never,never,never,never,s2_8_36,2,3,2
321003,Jan,2,2,1,1,2,4,-2,1,1,3,4,8,very_low,never,never,never,never,never,never,never,s2_8_36,1,4,1
321003,Janet,2,2,1,1,2,4,-2,1,0,3,5,1,never,never,never,never,never,never,very_low,never,s2_8_36,2,4,1
321003,Jeroen,2,2,1,1,2,4,0,1,1,3,4,8,never,never,never,never,never,never,never,never,s2_8_36,1,2,1
321003,Jim,2,2,1,1,2,4,1,0,1,3,2,8,very_low,never,never,never,never,never,never,never,s2_8_36,1,1,2
321003,Jojo,2,2,1,1,2,4,0,0,1,3,2,6,low,very_low,never,never,never,never,never,never,s2_8_36,1,2,2
321003,Jos,2,2,1,1,2,4,-1,1,1,1,5,8,never,never,never,never,never,never,never,never,s2_8_36,1,3,1
321003,Juliet,2,2,1,1,2,4,0,0,0,2,1,2,never,never,very_low,never,never,never,never,never,s2_8_36,2,2,2
321003,Lenie,2,2,1,1,2,4,-2,1,0,3,3,5,low,very_low,never,never,never,never,never,very_low,s2_8_36,2,4,1
321003,Leny,2,2,1,1,2,4,-1,0,0,3,3,2,low,high,high,never,never,never,never,very_low,s2_8_36,2,3,2
321003,Lies,2,2,1,1,2,4,0,0,0,3,2,6,low,very_low,never,never,never,never,never,never,s2_8_36,2,2,2
321003,Margo,2,2,1,1,2,4,0,0,0,2,1,2,never,never,never,never,never,never,never,never,s2_8_36,2,2,2
321003,Marja,2,2,1,1,2,4,0,0,0,2,1,2,never,never,very_low,never,never,never,never,never,s2_8_36,2,2,2
321003,Marjan,2,2,1,1,2,4,0,0,0,2,1,3,very_low,never,never,never,never,never,never,never,s2_8_36,2,2,2
321003,Mike,2,2,1,1,2,4,1,1,1,3,2,8,very_low,never,never,never,never,never,never,never,s2_8_36,1,1,1
321003,Nicky,2,2,1,1,2,4,0,1,0,3,3,8,never,never,never,never,never,never,never,never,s2_8_36,2,2,1
321003,Oma,2,2,1,1,2,4,-2,1,0,3,3,4,very_low,never,never,never,never,never,never,never,s2_8_36,2,4,1
321003,Saritha,2,2,1,1,2,4,1,1,0,3,4,8,very_low,very_low,never,never,never,never,never,never,s2_8_36,2,1,1
321003,Thea,2,2,1,1,2,4,-2,1,0,3,4,8,very_low,never,never,never,never,never,never,never,s2_8_36,2,4,1
321003,Trudy 1,2,2,1,1,2,4,0,1,0,3,3,8,never,never,never,never,never,never,never,never,s2_8_36,2,2,1
321003,Trudy 2,2,2,1,1,2,4,-1,1,0,3,4,8,never,never,never,never,never,never,never,never,s2_8_36,2,3,1
321004,1,2,2,3,3,2,2,0,1,0,3,2,1,low,very_low,very_low,never,never,very_low,very_low,very_low,s1_below_8,2,2,1
321004,10,2,2,3,3,2,2,-2,1,0,3,2,8,very_low,high,never,never,never,never,never,low,s1_below_8,2,4,1
321004,11,2,2,3,3,2,2,-2,1,1,3,3,8,very_low,very_low,never,never,never,never,never,never,s1_below_8,1,4,1
321004,12,2,2,3,3,2,2,-2,1,0,3,3,8,very_low,very_low,never,never,never,never,never,never,s1_below_8,2,4,1
321004,2,2,2,3,3,2,2,-2,1,0,3,4,1,very_low,very_low,never,never,never,never,never,never,s1_below_8,2,4,1
321004,3,2,2,3,3,2,2,1,0,0,2,1,3,very_low,very_low,never,never,never,never,never,never,s1_below_8,2,1,2
321004,4,2,2,3,3,2,2,-2,1,1,3,1,5,very_low,low,very_low,never,never,never,never,never,s1_below_8,1,4,1
321004,5,2,2,3,3,2,2,-1,1,1,3,2,6,very_low,very_low,very_low,never,never,never,never,never,s1_below_8,1,3,1
321004,6,2,2,3,3,2,2,-1,1,0,3,2,6,very_low,very_low,very_low,never,never,never,never,never,s1_below_8,2,3,1
321004,7,2,2,3,3,2,2,-1,1,1,3,2,6,very_low,very_low,never,never,never,never,never,never,s1_below_8,1,3,1
321004,8,2,2,3,3,2,2,1,1,1,2,1,7,very_low,low,very_low,never,very_low,low,very_low,very_low,s1_below_8,1,1,1
321004,9,2,2,3,3,2,2,1,1,0,2,1,7,low,low,very_low,never,very_low,low,very_low,low,s1_below_8,2,1,1
321007,1,1,3,2,2,1,4,0,-1,0,3,3,1,very_low,very_low,very_low,never,never,never,very_low,very_low,s2_8_36,1,3,2
321007,1a,1,3,2,2,1,4,1,0,-1,3,2,7,very_low,very_low,never,never,never,never,never,never,s2_8_36,2,2,1
321007,2,1,3,2,2,1,4,0,0,-1,3,3,1,very_low,very_low,very_low,never,never,never,very_low,very_low,s2_8_36,2,3,1
321007,2a,1,3,2,2,1,4,1,0,0,3,3,7,very_low,low,very_low,never,never,never,never,never,s2_8_36,1,2,1
321007,3,1,3,2,2,1,4,-1,0,0,1,3,1,very_low,very_low,never,never,never,never,never,never,s2_8_36,1,4,1
321007,3a,1,3,2,2,1,4,2,0,0,3,2,7,very_low,very_low,never,never,never,never,never,never,s2_8_36,1,1,1
321007,4,1,3,2,2,1,4,-1,0,-1,1,3,1,very_low,very_low,never,never,never,never,never,never,s2_8_36,2,4,1
321007,4a,1,3,2,2,1,4,2,0,-1,3,2,7,very_low,very_low,never,never,never,never,never,never,s2_8_36,2,1,1
321007,5,1,3,2,2,1,4,-1,0,0,2,5,1,very_low,very_low,never,never,never,never,never,never,s2_8_36,1,4,1
321007,5a,1,3,2,2,1,4,2,0,-1,1,3,7,very_low,very_low,very_low,never,never,never,never,never,s2_8_36,2,1,1
321007,6,1,3,2,2,1,4,0,0,-1,2,5,1,very_low,very_low,never,never,never,never,never,never,s2_8_36,2,3,1
321007,a,1,3,2,2,1,4,2,0,-1,2,1,3,very_low,very_low,never,never,never,never,never,never,s2_8_36,2,1,1
321007,b,1,3,2,2,1,4,2,0,0,2,1,3,very_low,very_low,never,never,never,never,never,never,s2_8_36,1,1,1
321008,*,1,4,2,2,1,4,2,0,-1,3,2,1,very_low,very_low,never,never,never,never,never,never,s1_below_8,2,2,1
321008,Anneke,1,4,2,2,1,4,1,0,-1,3,3,6,low,low,very_low,never,very_low,never,very_low,very_low,s1_below_8,2,3,1
321008,Jeroen,1,4,2,2,1,4,2,0,0,3,3,8,low,low,never,never,never,never,never,never,s1_below_8,1,2,1
321008,Mark,1,4,2,2,1,4,2,-1,0,3,2,7,high,high,very_low,never,very_low,never,very_low,never,s1_below_8,1,2,2
321008,Michelle,1,4,2,2,1,4,2,0,-1,3,3,8,low,low,never,never,never,never,never,never,s1_below_8,2,2,1
321008,Rob,1,4,2,2,1,4,2,0,0,3,3,8,low,low,never,never,never,never,never,never,s1_below_8,1,2,1
321008,Suzanne,1,4,2,2,1,4,2,0,-1,3,3,8,low,low,never,never,never,never,never,never,s1_below_8,2,2,1
321009,1,1,3,3,4,2,3,-1,1,-1,3,3,5,low,very_low,never,never,never,never,never,never,s1_below_8,2,4,1
321009,a,1,3,3,4,2,3,0,1,0,3,1,3,never,never,never,never,never,never,never,never,s1_below_8,1,3,1
321009,bs,1,3,3,4,2,3,0,0,0,3,1,3,never,never,never,never,never,never,never,never,s1_below_8,1,3,2
321009,e,1,3,3,4,2,3,1,1,-1,3,4,6,very_low,very_low,never,never,never,never,never,never,s1_below_8,2,2,1
321009,h,1,3,3,4,2,3,0,0,-1,3,2,5,very_low,very_low,high,never,never,never,never,never,s1_below_8,2,3,2
321009,hm,1,3,3,4,2,3,2,1,0,1,1,3,never,never,never,never,never,never,never,never,s1_below_8,1,1,1
321009,hv,1,3,3,4,2,3,2,1,-1,1,1,3,never,never,never,never,never,never,never,never,s1_below_8,2,1,1
321009,j,1,3,3,4,2,3,0,0,0,3,2,5,low,low,low,never,never,high,high,never,s1_below_8,1,3,2
321009,k,1,3,3,4,2,3,0,0,0,3,1,1,very_low,very_low,very_low,never,never,never,never,never,s1_below_8,1,3,2
321009,l,1,3,3,4,2,3,2,1,-1,3,1,7,never,never,very_low,never,never,very_low,never,never,s1_below_8,2,1,1
321009,m,1,3,3,4,2,3,0,1,-1,3,3,6,very_low,very_low,never,never,never,never,never,never,s1_below_8,2,3,1
321009,mevrh,1,3,3,4,2,3,-1,1,-1,3,1,3,never,never,never,never,never,never,never,never,s1_below_8,2,4,1
321009,ms,1,3,3,4,2,3,0,0,-1,3,1,3,never,never,never,never,never,never,never,never,s1_below_8,2,3,2
