id,Gender,Age,Householdsize,MaritalStatus,Education,Paidwork,Income,Friends,Colleagues,Neighbors,Grandparents,Parents,Siblings,Children,Otherfamilymembers,total_allgroups,Visit,Hosting,Dining,Bar,Cinema,Recreation,Vacation,Shopping,Visit_category,Hosting_category,Dining_category,Bar_category,Cinema_category,Recreation_category,Vacation_category,Shopping_category
321004,2.0,2.0,3.0,3.0,2.0,s1_below_8,2.0,s2_2,s1_0,s2_1_3,s1_0,s2_1_up,s3_3_up,s2_1_up,s2_1_4,12.0,low,low,high,0.0,0.0164383561643836,high,high,high,2,2,3,,,,,
321007,1.0,3.0,2.0,2.0,1.0,s2_8_36,4.0,s4_6_up,s1_0,s3_4_up,s1_0,s1_0,s1_0,s2_1_up,s1_0,13.0,very_low,low,low,0.0,0.0,low,high,low,1,2,2,,,,,
321008,1.0,4.0,2.0,2.0,1.0,s1_below_8,4.0,s2_2,s3_4_up,s2_1_3,s1_0,s1_0,s2_1_2,s2_1_up,s3_5_up,35.0,low,high,very_high,0.0,0.0191780821917808,low,high,high,2,3,4,,,,,
321009,1.0,3.0,3.0,4.0,2.0,s1_below_8,3.0,s3_3_5,s1_0,s3_4_up,s1_0,s2_1_up,s3_3_up,s2_1_up,s2_1_4,29.0,very_low,low,low,0.0,0.0,high,low,low,1,2,2,,,,,
321010,1.0,4.0,2.0,2.0,1.0,s2_8_36,5.0,s3_3_5,s3_4_up,s2_1_3,s1_0,s1_0,s2_1_2,s2_1_up,s2_1_4,20.0,very_high,very_high,very_low,0.0,0.0,high,low,low,4,4,1,,,,,
321011,1.0,2.0,2.0,2.0,2.0,s3_36_up,4.0,s3_3_5,s3_4_up,s3_4_up,s1_0,s2_1_up,s1_0,s1_0,s2_1_4,28.0,high,high,very_low,0.0,0.0,low,low,high,3,3,1,,,,,
321012,2.0,1.0,3.0,3.0,1.0,s2_8_36,3.0,s4_6_up,s2_1_3,s3_4_up,s2_1_up,s2_1_up,s2_1_2,s2_1_up,s3_5_up,37.0,very_high,very_high,very_high,0.0315068493150685,0.0219178082191781,high,high,high,4,4,4,,,,,
321013,2.0,1.0,3.0,3.0,1.0,s2_8_36,2.0,s1_below_2,s2_1_3,s2_1_3,s2_1_up,s2_1_up,s3_3_up,s2_1_up,s2_1_4,19.0,very_high,high,very_high,0.0,0.0,high,high,high,4,3,4,,,,,
321014,2.0,2.0,1.0,1.0,2.0,s2_8_36,2.0,s4_6_up,s2_1_3,s1_0,s1_0,s2_1_up,s3_3_up,s1_0,s2_1_4,14.0,very_low,low,high,0.0136986301369863,0.0191780821917808,high,low,high,1,2,3,,,,,
321015,2.0,3.0,1.0,1.0,1.0,s3_36_up,2.0,s2_2,s1_0,s2_1_3,s1_0,s1_0,s1_0,s1_0,s1_0,4.0,high,high,low,0.0,0.0,high,high,low,3,3,2,,,,,
321017,1.0,2.0,2.0,2.0,1.0,s3_36_up,4.0,s4_6_up,s3_4_up,s2_1_3,s1_0,s2_1_up,s1_0,s1_0,s3_5_up,61.0,high,low,very_high,0.105479452054795,0.0452054794520548,high,high,high,3,2,4,,,,,
321018,1.0,3.0,2.0,2.0,2.0,s3_36_up,5.0,s3_3_5,s2_1_3,s3_4_up,s1_0,s1_0,s3_3_up,s1_0,s2_1_4,14.0,low,low,low,0.0,0.0,high,low,low,2,2,2,,,,,
321019,2.0,1.0,3.0,3.0,1.0,s1_below_8,1.0,s4_6_up,s1_0,s3_4_up,s2_1_up,s2_1_up,s3_3_up,s2_1_up,s3_5_up,65.0,high,low,high,0.0575342465753425,0.0,high,low,low,3,2,3,,,,,
321021,2.0,3.0,3.0,4.0,1.0,s3_36_up,3.0,s3_3_5,s3_4_up,s2_1_3,s1_0,s1_0,s3_3_up,s2_1_up,s3_5_up,27.0,very_low,low,very_low,0.0,0.0,low,low,low,1,2,1,,,,,
321023,1.0,1.0,1.0,1.0,1.0,s3_36_up,3.0,s4_6_up,s1_0,s3_4_up,s1_0,s2_1_up,s2_1_2,s1_0,s2_1_4,18.0,very_high,very_high,very_low,1.18356164383562,0.197260273972603,high,high,high,4,4,1,,,,,
321025,2.0,4.0,3.0,4.0,1.0,s1_below_8,3.0,s3_3_5,s1_0,s3_4_up,s1_0,s1_0,s3_3_up,s2_1_up,s3_5_up,24.0,very_high,high,very_high,0.0,0.0,low,low,high,4,3,4,,,,,
321026,2.0,1.0,3.0,3.0,2.0,s1_below_8,4.0,s2_2,s1_0,s2_1_3,s2_1_up,s2_1_up,s3_3_up,s2_1_up,s1_0,27.0,high,very_high,high,0.00273972602739726,0.00273972602739726,high,high,low,3,4,3,,,,,
321027,1.0,3.0,2.0,2.0,1.0,s1_below_8,3.0,s4_6_up,s1_0,s3_4_up,s1_0,s1_0,s3_3_up,s2_1_up,s1_0,40.0,low,high,very_low,0.0,0.0,low,low,low,2,3,1,,,,,
321028,1.0,2.0,3.0,4.0,2.0,s3_36_up,4.0,s2_2,s3_4_up,s3_4_up,s1_0,s2_1_up,s2_1_2,s2_1_up,s1_0,22.0,very_low,very_low,very_low,0.0,0.0,low,low,low,1,1,1,,,,,
321030,1.0,1.0,2.0,2.0,1.0,s3_36_up,4.0,s1_below_2,s3_4_up,s2_1_3,s1_0,s2_1_up,s2_1_2,s1_0,s2_1_4,16.0,low,very_low,very_low,0.0,0.0,low,low,low,2,1,1,,,,,
321032,2.0,1.0,2.0,2.0,2.0,s2_8_36,1.0,s2_2,s1_0,s1_0,s1_0,s2_1_up,s2_1_2,s1_0,s2_1_4,7.0,very_high,very_high,very_high,0.693150684931507,0.243835616438356,high,high,high,4,4,4,,,,,
321035,2.0,2.0,2.0,2.0,1.0,s2_8_36,1.0,s3_3_5,s1_0,s3_4_up,s1_0,s2_1_up,s1_0,s1_0,s1_0,10.0,very_low,low,very_low,0.0,0.0,high,high,high,1,2,1,,,,,
321036,2.0,2.0,1.0,1.0,1.0,s2_8_36,3.0,s3_3_5,s2_1_3,s2_1_3,s1_0,s2_1_up,s2_1_2,s1_0,s2_1_4,13.0,very_high,low,low,0.419178082191781,0.00821917808219178,high,low,high,4,2,2,,,,,
321037,2.0,1.0,2.0,2.0,1.0,s1_below_8,3.0,s4_6_up,s1_0,s1_0,s2_1_up,s2_1_up,s2_1_2,s1_0,s3_5_up,23.0,high,high,very_high,0.120547945205479,0.161643835616438,high,high,high,3,3,4,,,,,
321038,1.0,1.0,3.0,4.0,2.0,s2_8_36,1.0,s3_3_5,s3_4_up,s1_0,s1_0,s2_1_up,s2_1_2,s1_0,s1_0,27.0,very_low,very_low,very_low,0.361643835616438,0.0,high,low,low,1,1,1,,,,,
321039,1.0,1.0,3.0,3.0,2.0,s3_36_up,5.0,s2_2,s2_1_3,s2_1_3,s1_0,s2_1_up,s1_0,s2_1_up,s1_0,7.0,high,high,very_low,0.0,0.0,low,low,low,3,3,1,,,,,
321040,1.0,1.0,3.0,4.0,1.0,s1_below_8,1.0,s1_below_2,s3_4_up,s3_4_up,s2_1_up,s2_1_up,s3_3_up,s1_0,s1_0,20.0,very_high,very_high,very_high,0.815068493150685,0.475342465753425,high,high,high,4,4,4,,,,,
321042,2.0,1.0,2.0,2.0,2.0,s2_8_36,3.0,s1_below_2,s3_4_up,s3_4_up,s1_0,s2_1_up,s1_0,s1_0,s3_5_up,84.0,very_high,very_high,very_high,0.0465753424657534,0.10958904109589,high,high,high,4,4,4,,,,,
321043,1.0,1.0,3.0,3.0,2.0,s3_36_up,5.0,s3_3_5,s3_4_up,s3_4_up,s1_0,s2_1_up,s1_0,s2_1_up,s1_0,21.0,very_low,very_low,low,0.00821917808219178,0.00821917808219178,high,high,high,1,1,2,,,,,
321044,1.0,3.0,3.0,4.0,1.0,s3_36_up,4.0,s4_6_up,s3_4_up,s2_1_3,s1_0,s1_0,s2_1_2,s2_1_up,s2_1_4,42.0,low,low,very_low,0.0,0.0,low,low,low,2,2,1,,,,,
321045,2.0,1.0,3.0,3.0,1.0,s3_36_up,3.0,s3_3_5,s2_1_3,s1_0,s2_1_up,s2_1_up,s2_1_2,s1_0,s3_5_up,19.0,very_high,very_low,very_high,0.0,0.0,low,low,low,4,1,4,,,,,
321046,1.0,1.0,2.0,2.0,1.0,s3_36_up,4.0,s3_3_5,s1_0,s3_4_up,s1_0,s2_1_up,s3_3_up,s1_0,s1_0,29.0,high,high,low,0.0,0.0,high,high,low,3,3,2,,,,,
321047,2.0,1.0,2.0,2.0,2.0,s3_36_up,4.0,s4_6_up,s3_4_up,s2_1_3,s2_1_up,s2_1_up,s3_3_up,s1_0,s3_5_up,91.0,high,low,very_high,0.0,0.0,low,low,high,3,2,4,,,,,
321049,2.0,2.0,3.0,4.0,2.0,s2_8_36,3.0,s3_3_5,s2_1_3,s2_1_3,s2_1_up,s2_1_up,s2_1_2,s1_0,s2_1_4,10.0,very_high,very_high,high,0.0657534246575342,0.0657534246575342,high,high,high,4,4,3,,,,,
321051,2.0,1.0,3.0,4.0,1.0,s2_8_36,1.0,s3_3_5,s3_4_up,s3_4_up,s2_1_up,s2_1_up,s2_1_2,s1_0,s3_5_up,28.0,high,very_high,very_high,0.295890410958904,0.00410958904109589,low,low,low,3,4,4,,,,,
321052,1.0,3.0,3.0,4.0,2.0,s1_below_8,5.0,s3_3_5,s2_1_3,s3_4_up,s1_0,s2_1_up,s2_1_2,s2_1_up,s2_1_4,17.0,low,high,high,0.0164383561643836,0.010958904109589,high,high,low,2,3,3,,,,,
321053,2.0,1.0,3.0,4.0,1.0,s1_below_8,1.0,s3_3_5,s1_0,s3_4_up,s2_1_up,s2_1_up,s2_1_2,s1_0,s3_5_up,26.0,very_high,very_high,very_high,0.0123287671232877,0.0315068493150685,high,high,high,4,4,4,,,,,
321054,2.0,3.0,2.0,2.0,1.0,s1_below_8,1.0,s2_2,s1_0,s1_0,s1_0,s1_0,s3_3_up,s2_1_up,s1_0,6.0,low,high,very_low,0.0,0.0,low,low,high,2,3,1,,,,,
321055,2.0,2.0,1.0,1.0,2.0,s2_8_36,4.0,s4_6_up,s1_0,s1_0,s1_0,s2_1_up,s3_3_up,s1_0,s3_5_up,37.0,very_high,high,very_high,0.0,0.0,high,high,high,4,3,4,,,,,
321058,1.0,2.0,3.0,4.0,2.0,s3_36_up,4.0,s1_below_2,s2_1_3,s3_4_up,s1_0,s2_1_up,s3_3_up,s2_1_up,s1_0,16.0,low,low,low,0.0,0.0,low,low,low,2,2,2,,,,,
321059,2.0,3.0,3.0,4.0,1.0,s2_8_36,4.0,s1_below_2,s2_1_3,s1_0,s1_0,s2_1_up,s3_3_up,s2_1_up,s1_0,12.0,very_high,very_high,low,0.00821917808219178,0.0,high,high,high,4,4,2,,,,,
321060,1.0,1.0,3.0,4.0,2.0,s3_36_up,5.0,s4_6_up,s3_4_up,s3_4_up,s2_1_up,s2_1_up,s3_3_up,s2_1_up,s3_5_up,97.0,very_high,very_high,very_high,20.0,20.0,high,high,high,4,4,4,,,,,
321061,1.0,2.0,1.0,1.0,1.0,s1_below_8,3.0,s4_6_up,s3_4_up,s2_1_3,s1_0,s2_1_up,s1_0,s2_1_up,s3_5_up,30.0,high,high,very_high,0.0958904109589041,0.0684931506849315,low,high,high,3,3,4,,,,,
321062,1.0,1.0,2.0,2.0,2.0,s3_36_up,4.0,s3_3_5,s2_1_3,s2_1_3,s2_1_up,s2_1_up,s3_3_up,s1_0,s2_1_4,19.0,high,very_low,high,0.0,0.0328767123287671,low,high,low,3,1,3,,,,,
321063,1.0,1.0,1.0,1.0,2.0,s3_36_up,4.0,s4_6_up,s3_4_up,s2_1_3,s1_0,s2_1_up,s2_1_2,s1_0,s2_1_4,26.0,high,low,low,0.00136986301369863,0.00136986301369863,low,low,low,3,2,2,,,,,
321071,2.0,2.0,3.0,4.0,2.0,s2_8_36,3.0,s3_3_5,s3_4_up,s3_4_up,s1_0,s2_1_up,s2_1_2,s2_1_up,s3_5_up,30.0,very_low,low,high,0.00410958904109589,0.00684931506849315,high,high,high,1,2,3,,,,,
321072,2.0,3.0,2.0,4.0,1.0,s2_8_36,2.0,s1_below_2,s1_0,s1_0,s2_1_up,s2_1_up,s3_3_up,s2_1_up,s3_5_up,18.0,high,high,very_low,0.0,0.0,high,high,high,3,3,1,,,,,
321073,2.0,2.0,2.0,2.0,1.0,s2_8_36,2.0,s2_2,s2_1_3,s2_1_3,s2_1_up,s2_1_up,s3_3_up,s1_0,s3_5_up,51.0,high,high,low,0.0,0.0,low,low,low,3,3,2,,,,,
321075,1.0,4.0,2.0,2.0,1.0,s2_8_36,5.0,s4_6_up,s3_4_up,s2_1_3,s1_0,s1_0,s2_1_2,s2_1_up,s3_5_up,27.0,high,high,very_high,0.0,0.0,low,low,low,3,3,4,,,,,
321076,2.0,1.0,1.0,1.0,2.0,s2_8_36,1.0,s4_6_up,s3_4_up,s3_4_up,s2_1_up,s2_1_up,s2_1_2,s1_0,s1_0,39.0,very_high,very_high,high,0.0,0.0328767123287671,high,high,high,4,4,3,,,,,
321078,2.0,3.0,2.0,2.0,1.0,s2_8_36,4.0,s4_6_up,s3_4_up,s3_4_up,s1_0,s1_0,s3_3_up,s2_1_up,s3_5_up,76.0,very_high,very_high,very_high,0.0,0.0,low,high,high,4,4,4,,,,,
321079,2.0,4.0,2.0,2.0,1.0,s1_below_8,1.0,s2_2,s1_0,s3_4_up,s1_0,s1_0,s3_3_up,s2_1_up,s1_0,16.0,very_low,low,low,0.0,0.0,low,high,high,1,2,2,,,,,
321080,2.0,3.0,2.0,2.0,1.0,s1_below_8,2.0,s3_3_5,s1_0,s3_4_up,s1_0,s1_0,s1_0,s2_1_up,s1_0,9.0,low,high,low,0.0,0.0,high,low,low,2,3,2,,,,,
321081,1.0,1.0,3.0,2.0,1.0,s1_below_8,1.0,s1_below_2,s1_0,s1_0,s2_1_up,s2_1_up,s2_1_2,s1_0,s3_5_up,14.0,very_high,very_low,very_low,0.0,0.0,low,low,low,4,1,1,,,,,
321082,1.0,3.0,3.0,4.0,1.0,s1_below_8,2.0,s1_below_2,s1_0,s1_0,s1_0,s1_0,s2_1_2,s2_1_up,s1_0,3.0,low,low,very_low,0.0,0.0,low,low,low,2,2,1,,,,,
321083,1.0,1.0,3.0,2.0,1.0,s1_below_8,3.0,s2_2,s3_4_up,s3_4_up,s2_1_up,s2_1_up,s2_1_2,s1_0,s1_0,23.0,very_low,low,low,0.0,0.0,low,low,low,1,2,2,,,,,
321084,2.0,3.0,3.0,4.0,1.0,s2_8_36,1.0,s4_6_up,s2_1_3,s3_4_up,s1_0,s2_1_up,s3_3_up,s2_1_up,s3_5_up,49.0,very_low,low,low,0.0,0.00136986301369863,low,low,low,1,2,2,,,,,
321085,1.0,3.0,3.0,4.0,1.0,s1_below_8,2.0,s4_6_up,s1_0,s3_4_up,s1_0,s2_1_up,s2_1_2,s2_1_up,s1_0,15.0,low,high,very_high,0.0,0.0,low,high,high,2,3,4,,,,,
321086,1.0,3.0,3.0,4.0,1.0,s3_36_up,4.0,s1_below_2,s3_4_up,s3_4_up,s2_1_up,s1_0,s1_0,s2_1_up,s2_1_4,45.0,very_low,very_low,very_low,0.00136986301369863,0.00136986301369863,low,low,low,1,1,1,,,,,
321087,2.0,2.0,3.0,4.0,1.0,s2_8_36,2.0,s1_below_2,s1_0,s1_0,s2_1_up,s1_0,s1_0,s1_0,s1_0,3.0,low,low,low,0.00273972602739726,0.00273972602739726,high,high,high,2,2,2,,,,,
321088,2.0,1.0,3.0,3.0,1.0,s2_8_36,1.0,s4_6_up,s1_0,s3_4_up,s2_1_up,s2_1_up,s3_3_up,s1_0,s3_5_up,62.0,very_high,very_high,very_high,0.00273972602739726,0.00821917808219178,high,low,high,4,4,4,,,,,
321089,2.0,3.0,2.0,2.0,1.0,s3_36_up,4.0,s4_6_up,s3_4_up,s3_4_up,s2_1_up,s2_1_up,s2_1_2,s1_0,s2_1_4,56.0,very_high,very_high,low,0.00821917808219178,0.00821917808219178,high,low,low,4,4,2,,,,,
321090,2.0,3.0,1.0,1.0,1.0,s1_below_8,2.0,s2_2,s2_1_3,s1_0,s1_0,s2_1_up,s3_3_up,s2_1_up,s1_0,16.0,very_low,very_low,low,0.0,0.0,low,low,high,1,1,2,,,,,
321093,2.0,2.0,1.0,1.0,1.0,s2_8_36,3.0,s3_3_5,s2_1_3,s3_4_up,s1_0,s2_1_up,s3_3_up,s1_0,s3_5_up,42.0,very_high,very_high,high,0.0246575342465753,0.0,high,low,high,4,4,3,,,,,
321095,1.0,1.0,1.0,1.0,1.0,s3_36_up,4.0,s3_3_5,s2_1_3,s2_1_3,s1_0,s2_1_up,s2_1_2,s1_0,s1_0,14.0,very_low,very_high,low,0.0,0.0,low,low,low,1,4,2,,,,,
321096,1.0,2.0,3.0,3.0,1.0,s3_36_up,3.0,s2_2,s1_0,s2_1_3,s2_1_up,s2_1_up,s2_1_2,s2_1_up,s1_0,12.0,high,very_high,very_low,0.0,0.0,low,low,low,3,4,1,,,,,
321097,2.0,3.0,3.0,4.0,1.0,s2_8_36,2.0,s4_6_up,s2_1_3,s2_1_3,s1_0,s1_0,s3_3_up,s2_1_up,s3_5_up,27.0,high,very_high,low,0.0,0.0,low,low,high,3,4,2,,,,,
321099,2.0,2.0,3.0,4.0,1.0,s1_below_8,3.0,s1_below_2,s1_0,s2_1_3,s1_0,s2_1_up,s3_3_up,s2_1_up,s2_1_4,13.0,low,high,high,0.00547945205479452,0.00547945205479452,high,high,high,2,3,3,,,,,
321101,1.0,1.0,2.0,2.0,2.0,s3_36_up,4.0,s4_6_up,s2_1_3,s2_1_3,s1_0,s2_1_up,s2_1_2,s1_0,s3_5_up,28.0,very_high,low,low,0.0,0.00821917808219178,high,high,high,4,2,2,,,,,
321102,1.0,1.0,1.0,1.0,1.0,s2_8_36,2.0,s4_6_up,s3_4_up,s3_4_up,s1_0,s2_1_up,s2_1_2,s1_0,s2_1_4,42.0,very_high,very_high,very_low,0.0,0.0,low,low,low,4,4,1,,,,,
321104,1.0,1.0,2.0,2.0,1.0,s3_36_up,4.0,s4_6_up,s3_4_up,s3_4_up,s1_0,s2_1_up,s3_3_up,s1_0,s3_5_up,36.0,low,very_low,high,0.0136986301369863,0.0136986301369863,high,high,high,2,1,3,,,,,
321105,1.0,3.0,2.0,4.0,2.0,s1_below_8,5.0,s4_6_up,s1_0,s2_1_3,s1_0,s1_0,s1_0,s2_1_up,s2_1_4,13.0,low,high,high,0.00958904109589041,0.00821917808219178,high,high,high,2,3,3,,,,,
321106,1.0,1.0,2.0,2.0,1.0,s3_36_up,4.0,s2_2,s2_1_3,s2_1_3,s1_0,s2_1_up,s3_3_up,s1_0,s3_5_up,17.0,very_high,low,very_high,0.00273972602739726,0.00547945205479452,high,high,high,4,2,4,,,,,
321107,1.0,1.0,2.0,2.0,1.0,s3_36_up,4.0,s1_below_2,s2_1_3,s2_1_3,s2_1_up,s2_1_up,s3_3_up,s1_0,s3_5_up,19.0,low,high,high,0.026027397260274,0.026027397260274,high,high,high,2,3,3,,,,,
321108,2.0,4.0,1.0,1.0,1.0,s1_below_8,2.0,s2_2,s2_1_3,s1_0,s1_0,s1_0,s2_1_2,s2_1_up,s1_0,10.0,low,low,high,0.0164383561643836,0.0342465753424658,high,high,high,2,2,3,,,,,
321110,1.0,1.0,1.0,1.0,1.0,s3_36_up,4.0,s1_below_2,s1_0,s3_4_up,s1_0,s2_1_up,s3_3_up,s1_0,s2_1_4,17.0,very_low,very_low,low,0.0,0.0,high,high,high,1,1,2,,,,,
321112,1.0,4.0,2.0,2.0,2.0,s1_below_8,5.0,s3_3_5,s1_0,s2_1_3,s1_0,s1_0,s2_1_2,s2_1_up,s2_1_4,8.0,very_low,very_low,very_low,0.0,0.0,low,low,low,1,1,1,,,,,
321115,2.0,2.0,2.0,2.0,1.0,s3_36_up,4.0,s1_below_2,s3_4_up,s2_1_3,s1_0,s2_1_up,s2_1_2,s2_1_up,s1_0,10.0,low,low,high,0.0,0.0,low,low,high,2,2,3,,,,,
321116,1.0,2.0,3.0,3.0,2.0,s3_36_up,5.0,s4_6_up,s3_4_up,s3_4_up,s2_1_up,s2_1_up,s2_1_2,s1_0,s2_1_4,38.0,very_high,very_high,very_high,5.86027397260274,9.56712328767123,high,high,high,4,4,4,,,,,
321117,2.0,3.0,1.0,1.0,1.0,s1_below_8,2.0,s3_3_5,s1_0,s2_1_3,s1_0,s1_0,s1_0,s1_0,s1_0,7.0,very_low,very_high,very_low,0.0,0.0,low,low,low,1,4,1,,,,,
321118,1.0,3.0,2.0,2.0,2.0,s1_below_8,3.0,s3_3_5,s3_4_up,s2_1_3,s2_1_up,s2_1_up,s3_3_up,s2_1_up,s2_1_4,19.0,low,low,high,0.0219178082191781,0.0273972602739726,high,high,high,2,2,3,,,,,
321120,2.0,2.0,2.0,2.0,1.0,s2_8_36,2.0,s2_2,s2_1_3,s2_1_3,s1_0,s1_0,s2_1_2,s1_0,s2_1_4,8.0,very_low,high,very_low,0.00136986301369863,0.00136986301369863,low,low,high,1,3,1,,,,,
321121,2.0,2.0,3.0,3.0,1.0,s2_8_36,2.0,s4_6_up,s3_4_up,s3_4_up,s2_1_up,s2_1_up,s3_3_up,s2_1_up,s3_5_up,74.0,low,high,very_high,0.0136986301369863,0.0,low,low,high,2,3,4,,,,,
321122,2.0,3.0,2.0,2.0,2.0,s2_8_36,5.0,s4_6_up,s1_0,s1_0,s1_0,s1_0,s1_0,s2_1_up,s1_0,13.0,very_low,very_low,very_low,0.0,0.0,low,low,low,1,1,1,,,,,
321123,2.0,1.0,1.0,1.0,1.0,s3_36_up,2.0,s3_3_5,s3_4_up,s1_0,s1_0,s2_1_up,s2_1_2,s1_0,s3_5_up,20.0,high,very_high,high,0.00821917808219178,0.00821917808219178,high,low,high,3,4,3,,,,,
321124,1.0,2.0,1.0,1.0,2.0,s3_36_up,5.0,s3_3_5,s3_4_up,s1_0,s1_0,s2_1_up,s3_3_up,s1_0,s2_1_4,16.0,very_low,very_low,very_low,0.0,0.0,low,low,low,1,1,1,,,,,
321125,2.0,2.0,2.0,2.0,2.0,s2_8_36,2.0,s4_6_up,s2_1_3,s3_4_up,s2_1_up,s2_1_up,s2_1_2,s2_1_up,s1_0,28.0,very_high,very_high,very_high,0.0,0.101369863013699,high,high,high,4,4,4,,,,,
321126,1.0,2.0,3.0,3.0,2.0,s1_below_8,1.0,s1_below_2,s1_0,s1_0,s2_1_up,s2_1_up,s2_1_2,s2_1_up,s1_0,8.0,high,high,high,0.0,0.0,high,high,high,3,3,3,,,,,
321127,1.0,1.0,3.0,3.0,2.0,s3_36_up,3.0,s3_3_5,s2_1_3,s2_1_3,s2_1_up,s2_1_up,s1_0,s1_0,s2_1_4,12.0,very_high,very_high,very_high,0.772602739726027,0.726027397260274,high,high,high,4,4,4,,,,,
321128,2.0,4.0,2.0,2.0,1.0,s1_below_8,3.0,s3_3_5,s1_0,s2_1_3,s2_1_up,s2_1_up,s3_3_up,s2_1_up,s3_5_up,18.0,very_high,very_high,high,0.0,0.0191780821917808,low,high,high,4,4,3,,,,,
321129,1.0,1.0,1.0,1.0,2.0,s3_36_up,4.0,s4_6_up,s3_4_up,s3_4_up,s1_0,s2_1_up,s2_1_2,s1_0,s1_0,25.0,very_low,low,high,0.282191780821918,0.0,low,high,low,1,2,3,,,,,
321130,2.0,3.0,3.0,3.0,1.0,s2_8_36,2.0,s4_6_up,s2_1_3,s2_1_3,s2_1_up,s2_1_up,s3_3_up,s2_1_up,s3_5_up,42.0,very_high,very_high,low,0.00136986301369863,0.0,high,high,high,4,4,2,,,,,
321131,1.0,1.0,3.0,3.0,2.0,s3_36_up,4.0,s4_6_up,s2_1_3,s3_4_up,s2_1_up,s2_1_up,s3_3_up,s2_1_up,s1_0,31.0,high,high,very_high,0.1,0.0671232876712329,high,high,high,3,3,4,,,,,
321134,2.0,2.0,2.0,2.0,1.0,s3_36_up,3.0,s3_3_5,s3_4_up,s2_1_3,s1_0,s2_1_up,s2_1_2,s1_0,s2_1_4,18.0,very_low,low,low,0.0,0.0,low,low,low,1,2,2,,,,,
321135,1.0,2.0,1.0,1.0,1.0,s2_8_36,2.0,s3_3_5,s2_1_3,s2_1_3,s1_0,s2_1_up,s1_0,s1_0,s1_0,9.0,high,very_low,low,0.0,0.0,low,low,high,3,1,2,,,,,
321136,2.0,3.0,2.0,2.0,1.0,s1_below_8,1.0,s4_6_up,s1_0,s3_4_up,s2_1_up,s1_0,s2_1_2,s2_1_up,s2_1_4,24.0,very_low,high,very_low,0.0,0.0,low,low,low,1,3,1,,,,,
321137,2.0,1.0,2.0,2.0,1.0,s1_below_8,1.0,s3_3_5,s1_0,s2_1_3,s2_1_up,s2_1_up,s1_0,s1_0,s1_0,11.0,high,very_high,high,0.0150684931506849,0.0136986301369863,high,high,high,3,4,3,,,,,
